power_watts,timestamp
119.61,1717429222.4779475
118.94,1717429223.4781866
119.16,1717429224.4795513
119.48,1717429225.480592
119.8,1717429226.4815993
119.14,1717429227.4828217
119.76,1717429228.483196
119.68,1717429229.4846745
119.12,1717429230.4854414
118.98,1717429231.4865088
119.43,1717429232.4877257
119.72,1717429233.4886198
118.69,1717429234.4898982
119.34,1717429235.490808
119.29,1717429236.491844
119.2,1717429237.4929802
119.11,1717429238.493654
119.28,1717429239.494753
120.02,1717429240.496012
119.62,1717429241.4970706
124.62,1717429242.500011
123.6,1717429243.5023677
121.39,1717429244.5004995
119.92,1717429245.5013351
121.79,1717429246.5027368
126.29,1717429247.50376
122.28,1717429248.5042331
120.65,1717429249.5055578
121.98,1717429250.5063226
123.12,1717429251.5072176
125.8,1717429252.509083
126.2,1717429253.5114305
131.16,1717429254.52057
129.61,1717429255.5136595
126.95,1717429256.5124063
126.73,1717429257.5135574
127.71,1717429258.5154967
130.52,1717429259.5171258
122.55,1717429260.5169053
119.51,1717429261.5182567
125.39,1717429262.518951
120.79,1717429263.519744
119.77,1717429264.521032
120.42,1717429265.5220306
119.62,1717429266.5228114
119.41,1717429267.5239131
119.52,1717429268.5250049
120.09,1717429269.5267975
121.09,1717429270.527397
130.78,1717429271.5299604
161.58,1717429272.5286586
186.94,1717429273.529553
220.98,1717429274.5341625
305.46,1717429275.5336099
367.71,1717429276.6096225
380.8,1717429277.6467314
382.33,1717429278.6084316
384.39,1717429279.626751
380.42,1717429280.5856795
376.81,1717429281.6268215
383.33,1717429282.6468904
386.61,1717429283.638336
384.48,1717429284.5766642
384.53,1717429285.656643
379.12,1717429286.5579321
373.61,1717429287.6266975
382.5,1717429288.6288602
389.68,1717429289.6568274
391.79,1717429290.6180484
386.07,1717429291.6666522
386.87,1717429292.636648
376.98,1717429293.636633
385.76,1717429294.6668944
392.35,1717429295.6768672
393.29,1717429296.6566436
389.52,1717429297.6266286
389.49,1717429298.6466432
382.55,1717429299.6306016
383.8,1717429300.6566844
390.59,1717429301.5975275
393.59,1717429302.6568317
391.6,1717429303.648103
394.12,1717429304.657578
393.23,1717429305.6279852
388.17,1717429306.6080713
390.77,1717429307.666893
393.25,1717429308.659723
391.97,1717429309.5872915
390.8,1717429310.5815728
384.02,1717429311.5724704
390.97,1717429312.639132
392.89,1717429313.5732822
390.83,1717429314.5826476
388.83,1717429315.5945458
382.77,1717429316.5947628
381.21,1717429317.593271
385.08,1717429318.5918112
387.89,1717429319.6394696
389.67,1717429320.5879693
392.46,1717429321.5967555
393.5,1717429322.5933585
392.55,1717429323.591555
389.47,1717429324.5951695
389.38,1717429325.604632
387.11,1717429326.5949612
387.98,1717429327.5965505
392.92,1717429328.6002638
391.5,1717429329.6123123
390.39,1717429330.6114655
389.41,1717429331.6088562
392.23,1717429332.6125958
391.94,1717429333.608117
391.62,1717429334.6067252
395.41,1717429335.608123
393.41,1717429336.617862
391.44,1717429337.610514
387.17,1717429338.6238863
387.07,1717429339.6143818
376.65,1717429340.6156461
386.28,1717429341.6285384
392.39,1717429342.6124804
393.87,1717429343.6161652
393.23,1717429344.625861
389.61,1717429345.6199641
388.1,1717429346.6254637
387.13,1717429347.6309974
